序号,用户地址,交易,ETH数量,LRC数量,价格,渠道
0,0x7445202f0c74297a004eb3726aa6a82dd7c02fa1,0xd49af5aac32a49bf28fe29b5fa4347df8ff4185942b9b6dac37084a6e18cbb92,24.00,144000.0,6000.0,
1,0x00f41ae83220a4953979fac1dca4433d27439fd0,0xc0e3e93881781b14593933f90e4412750ff82bb0336f07686bcb0c3c038d7f2c,5.00,30000.0,6000.0,
2,0x57243654ac805cb035d023cee59bc3ba494d9c2e,0x7a483a6ed0a0629b75e283dfb5cd16b822042b3131b8a0bbe93b62cc67960af0,0.50,3000.0,6000.0,
3,0x382814a45f7d0d366f8009b23746f4244e1a0c39,0xbb13fc83178bd63d5c20469d4d87f415dfa84b2e742b5cf5c250ce628d1fb874,2.00,12000.0,6000.0,
4,0x8b85c340e15ec04ba3d0ff3389e33d8d131a3155,0x0b89b1d5c63dd861838d59c10bbcf0b055e9caef8048c9509ced443f60987825,10.00,60000.0,6000.0,
5,0x66d4fb4f399b76e551aff2ec9efde76defd77f17,0xae9824361b991b6098c43aa84494b8c52b7f74f8cbee54e0ce7f95fc30c91b3d,1.73,10380.0,6000.0,
6,0x07e5f671f752e646b3e0e24661202c95124c569f,0x1303b0fa0e87d5fefd1a68b79a276bc93f32bf4c876cdbf275a52b9dcff352fa,5.40,32400.0,6000.0,
7,0x73a66de6ad83e5bc6cdb519dd1e3939a8fdade08,0x88c68e9886b4204c6a1573ae121bd20314db55303fd05b822265e88f37ce6af2,0.45,2700.0,6000.0,
8,0x45b6201712a71c7ac6b95ab768d686ee93c6b96d,0x78db9382b2dfa96958efa5519aaf541e676bd9c562a197bfc862fc67a473d64c,20.00,120000.0,6000.0,
9,0x8f1834cf800319f5d3f38d18f1666fd36f36595d,0xbb057eee4ef02cbcd0c6c9629e6249f6bb54cea19a0d6015f347779b794aefda,4.62,27708.0,6000.0,
10,0x9a6cdf8221636d503773aad48dd3998e4ae03a5d,0x2ab38b02e6924bb9eb8c1a56f30c58f23255819483ac065b8ac4e7db2d5ec233,50.00,300000.0,6000.0,
11,0x2e998da44bce14fa27d686698fe37039ca7c0265,0xb3e8e57280cb5ed630906815a7d7675e43358a52c387c5bf3d0351a8fb8a5c03,7.00,42000.0,6000.0,
12,0x321f42a7b6684633407ee1f3bcf17b1133a41aad,0x22938eff47045bac2e40316318c1d5771cbd92356a0d3943d3f3e4a4e3087105,10.00,59970.0,6000.0,
13,0x3bd34393162bccec046a7af5d33ac4e1aeb2f79b,0x53f22240f97c2435f3a9f728c9658fcfb6b06e09ff88a707e4b0f84418d9a9c4,4.00,24000.0,6000.0,
14,0x2d66f04ab4ddbdf6682a4af37b831ca80c0d65d0,0x5d3b0a58763ea4521958e40a113c9e38ee8e860dee95260620044d3ee981ae7b,1.00,6000.0,6000.0,
15,0xab42c464375f2901a3e4ea89c4cbe2b528fc98e0,0xcf374278d890218541b6751a17a71fe466225b7472440625933b2cd49e189352,10.20,61200.0,6000.0,
16,0x2d7be94831215d755a1efed6410810c3ef1a413e,0xe4bb922227d35f77039cff86f7f61bf44669232990e5e37e00fe77bdc861fb20,2.00,12000.0,6000.0,
17,0xb71d05cf5cdf7a9b15b20b9aab5e91332c271c96,0x1b7a316ede93cb0bffde6aeed3882edc957df81251fafc3b9376242c55ed5217,2.00,12000.0,6000.0,
18,0xfb9e00a0adc832f82631a2d6f5467d802296249d,0x1a65362c5b00faf18a39c5d4c6921811b6941ab6c35f21e85f148d295894f0c4,15.30,91800.0,6000.0,
19,0x20c84c401f8320cb6082959655d46206d481d8be,0xd0ea0de3a225e3bd5ec87e8cd72e76e4058cdc2c44fbe01a71e6d186590a6cba,3.00,18000.0,6000.0,
20,0x2c63bbf640abdaaa81b6b74b2b5321ae86fe53e7,0xdda3d345f7d3041933a5c81d22f8a660087b1289d4aeb0b8f5b698174b35bbd4,5.00,30000.0,6000.0,
21,0x00a42454f222b1aa50fbddc07423e7a38c064134,0xaa8f35422606024d596ae511998ac55fb0da348729bedc8353307c946f34e421,149.00,894000.0,6000.0,
22,0x9e5f9950a4267ebfb54ba6d2c4bb6b8ca43bfdae,0x2971f991c1e9b6f211769b1e95b718175397879dcc6b929e6566d1db58830b41,4.00,24000.0,6000.0,
23,0xa5896c86a20f868c1e665493d2023a7771594e8a,0x52fb65aa71bb4cc429125f9636ad8834aadfb34f4bf9019011b333befd8b7c59,7.00,42000.0,6000.0,
24,0x8db6915f66979352135534ed28295606039453e0,0x87e2bcfd56d9446678b60dc1350d728b7ae511a1e19c271028de43529031648d,3.90,23400.0,6000.0,
25,0x2c744af36661136ba2a97becfc1cd41f514a8b9d,0x5d852714cacfb2906feff631e8c2202a62d1ae1f9a6617f3ba71a85b087e36eb,2.00,12000.0,6000.0,
26,0xd83a501de6301bd8f35046bb19b7783e8705ebc0,0xcc9c31be69948f444c4ea9e2abd6d1ac74fba74d406d57859371c2c93730330e,2.10,12600.0,6000.0,
27,0xa453b5cb5db648d55280a7b61c264651fd17e18b,0xa97c73d3df12e39499ba3d5af2b084fee0ab9e57c84e43ee48a356475ad17361,7.09,42540.0,6000.0,
28,0x58ecf6ffb4538d6d613f57f9adae6f7bd65512ec,0x235f9d6d5464799091fb13e5a20cf650a0784147c7fe9a04072e47b6b8b7809d,2.20,13200.0,6000.0,
29,0xe333d7e7e5e041bcb6d2417bc65bc9d5921a9d04,0x8cb30f25d75d47bdfbc327e773e0ca7cf2bda3d85c3247335b3c7f152cc20ab0,0.90,5400.0,6000.0,
30,0x5d46742054a2d18d326f7b0434d68669623fd955,0x9bd386936e4781a55affe29669689a8a60a8290b1cce291898687541964fd344,0.30,1800.0,6000.0,
31,0xa6f1a7f64114779f1a72958d4f0179eef7fc8d5a,0x34d95ded9e149df5bb72fc565fe5399dfc4c6528e4394efdcfba09fbb4cfec37,1.50,9000.0,6000.0,
32,0x8b6f15ab8a1cc3be87ffd61f4123745e989a65d7,0xc9fa59b9752500ba7c071c2f20dba6976be2665bb1ebdaab0de25f4149ead4f4,12.00,72000.0,6000.0,
33,0x0eb8d117877e0670d6b9bf7e43d5f29310f42979,0x0203472bcac956738a88b3d848537eab08dfc2fa67480e24130a40654dd3d6b6,0.74,4440.0,6000.0,
34,0x424bde0ed4a72c696449ad14fc43cc23c7860f5a,0xde394fe6cff40c14fc32b9b6bbd1c4daccfc4f7d6ea73c3731a94488b5ff914e,5.40,32400.0,6000.0,
