block_timestamp ,gas_used ,num_noops ,num_deposits ,num_withdrawals ,num_transfers ,num_trades ,num_account_updates ,num_amm_updates ,num_signatures 
31/01/21 18:08 ,1158107,0,8,2,16,334,9,10,5
31/01/21 18:34 ,660140,0,2,3,2,377,0,0,0
31/01/21 19:36 ,1351592,0,3,2,26,327,2,16,8
31/01/21 20:25 ,1030347,114,6,5,11,235,4,6,3
31/01/21 20:57 ,1954650,7,10,1,48,268,5,30,15
31/01/21 21:47 ,1522352,88,6,2,36,219,3,20,10
01/02/21 00:38 ,1405393,0,3,0,33,317,4,18,9
01/02/21 01:03 ,1184634,0,3,2,29,329,3,12,6
01/02/21 01:44 ,1497482,0,12,5,32,310,1,16,8
01/02/21 02:28 ,1432888,56,5,4,26,267,2,16,8
01/02/21 04:57 ,950237,0,4,1,14,350,3,8,4
01/02/21 05:43 ,2650969,67,11,4,68,166,5,42,21
01/02/21 06:29 ,922358,75,3,4,33,260,3,4,2
01/02/21 07:43 ,1467036,0,2,4,28,326,0,16,8
01/02/21 08:07 ,1072911,0,2,1,18,343,5,10,5
01/02/21 08:18 ,958356,0,4,4,11,356,0,6,3
01/02/21 08:59 ,1201907,0,4,5,19,340,1,10,5
01/02/21 09:16 ,751799,0,5,3,3,369,1,2,1
01/02/21 09:51 ,1072665,89,2,4,13,262,2,8,4
01/02/21 11:53 ,1731902,0,6,3,38,301,3,22,11
01/02/21 12:29 ,1720870,0,5,4,39,303,0,22,11
01/02/21 14:25 ,878964,33,3,5,8,328,1,4,2
01/02/21 15:50 ,2095272,0,8,2,50,274,2,32,16
01/02/21 15:58 ,1254557,0,0,0,24,334,2,16,8
01/02/21 15:59 ,510082,0,0,0,1,383,0,0,0
01/02/21 16:40 ,1081740,0,5,3,17,340,7,8,4
01/02/21 17:08 ,932407,3,3,2,11,354,2,6,3
01/02/21 17:22 ,1501162,0,3,1,32,317,1,20,10
01/02/21 17:59 ,1068347,0,9,2,19,336,3,10,5
01/02/21 18:37 ,1109264,0,3,4,14,350,1,8,4
01/02/21 19:54 ,1350702,4,8,2,30,312,4,16,8
01/02/21 20:43 ,1507202,0,4,3,26,321,6,16,8
01/02/21 22:57 ,2577721,38,12,1,67,197,6,42,21
01/02/21 23:12 ,847982,0,5,2,13,355,3,4,2
01/02/21 23:30 ,1109548,0,8,2,20,337,2,10,5
01/02/21 23:54 ,1038175,0,5,1,21,340,2,10,5
02/02/21 00:33 ,1263944,2,5,2,27,327,0,14,7
02/02/21 00:57 ,1502141,0,2,3,28,323,1,18,9
02/02/21 01:25 ,1232541,0,2,3,20,340,1,12,6
02/02/21 02:14 ,3305449,8,9,2,92,182,4,58,29
